batch,allocator,dfi_or_source,query
allocator_dfi_crosscheck,PIC GEPF,AfDB,"""PIC GEPF"" ""AfDB"" ""fund"" Africa ""limited partner"""
allocator_dfi_crosscheck,PIC GEPF,AfDB,"""PIC GEPF"" ""AfDB"" ""first close"" Africa fund"
allocator_dfi_crosscheck,PIC GEPF,AfDB,"""PIC GEPF"" ""AfDB"" ""final close"" Africa fund"
allocator_dfi_crosscheck,PIC GEPF,AfDB,"""PIC GEPF"" ""anchored by"" fund Africa"
allocator_dfi_crosscheck,PIC GEPF,AfDB,"""PIC GEPF"" ""alongside"" ""AfDB"" fund"
allocator_dfi_crosscheck,PIC GEPF,BII CDC Group,"""PIC GEPF"" ""BII CDC Group"" ""fund"" Africa ""limited partner"""
allocator_dfi_crosscheck,PIC GEPF,BII CDC Group,"""PIC GEPF"" ""BII CDC Group"" ""first close"" Africa fund"
allocator_dfi_crosscheck,PIC GEPF,BII CDC Group,"""PIC GEPF"" ""BII CDC Group"" ""final close"" Africa fund"
allocator_dfi_crosscheck,PIC GEPF,BII CDC Group,"""PIC GEPF"" ""anchored by"" fund Africa"
allocator_dfi_crosscheck,PIC GEPF,BII CDC Group,"""PIC GEPF"" ""alongside"" ""BII CDC Group"" fund"
allocator_dfi_crosscheck,PIC GEPF,FMO,"""PIC GEPF"" ""FMO"" ""fund"" Africa ""limited partner"""
allocator_dfi_crosscheck,PIC GEPF,FMO,"""PIC GEPF"" ""FMO"" ""first close"" Africa fund"
allocator_dfi_crosscheck,PIC GEPF,FMO,"""PIC GEPF"" ""FMO"" ""final close"" Africa fund"
allocator_dfi_crosscheck,PIC GEPF,FMO,"""PIC GEPF"" ""anchored by"" fund Africa"
allocator_dfi_crosscheck,PIC GEPF,FMO,"""PIC GEPF"" ""alongside"" ""FMO"" fund"
allocator_dfi_crosscheck,PIC GEPF,Norfund,"""PIC GEPF"" ""Norfund"" ""fund"" Africa ""limited partner"""
